Date,inf,GDP,GDP_P,GDP_gap,ffr,
7/1/1987,3.801602159,8539.075,8672.0979568347800,-1.533918984,7.22,
10/1/1987,3.871743444,8685.694,8740.3552068610800,-0.625388849,6.77,
1/1/1988,4.137195892,8730.569,8808.2421613571500,-0.881823637,6.58,
4/1/1988,4.232261661,8845.280,8876.3762613136200,-0.350326084,7.51,
7/1/1988,3.754049786,8897.107,8944.3284934962800,-0.527949007,8.19,
10/1/1988,3.597481889,9015.661,9012.2245306484800,0.0381312,8.76,
1/1/1989,3.634518745,9107.314,9079.7836473560100,0.303204941,9.85,
4/1/1989,3.690909482,9176.827,9146.9440787370100,0.326698414,9.53,
7/1/1989,3.821018028,9244.816,9213.6664133517300,0.338080252,9.02,
10/1/1989,3.85424983,9263.033,9280.1171535497100,-0.184094158,8.45,
1/1/1990,3.752547531,9364.259,9345.7290623157700,0.198271719,8.28,
4/1/1990,3.356189096,9398.243,9410.6982795089200,-0.132352341,8.29,
7/1/1990,3.278442136,9404.494,9474.2945262599000,-0.736735871,8.2,
10/1/1990,3.123761494,9318.876,9536.6607334765700,-2.283658186,7.31,
1/1/1991,2.503113298,9275.276,9598.1338473710400,-3.36375646,6.12,
4/1/1991,2.36818243,9347.597,9658.7722615471000,-3.22168546,5.9,
7/1/1991,2.071008727,9394.834,9719.0522555075800,-3.335904026,5.45,
10/1/1991,2.167183303,9427.581,9779.6871218976200,-3.600382277,4.43,
1/1/1992,2.359214785,9540.444,9840.9573634024500,-3.053700492,3.98,
4/1/1992,2.353493095,9643.893,9903.2242187413400,-2.61865442,3.76,
7/1/1992,2.461142315,9739.185,9967.1892657039300,-2.287548271,3.22,
10/1/1992,2.315463936,9840.753,10032.2124322612000,-1.908446751,2.92,
1/1/1993,2.231757734,9857.185,10098.2893250648000,-2.387575928,3.07,
4/1/1993,2.117720913,9914.565,10165.9780138778000,-2.473082408,3.04,
7/1/1993,2.096148774,9961.873,10234.6817476429000,-2.665532299,3.09,
10/1/1993,2.093411957,10097.362,10304.2219861564000,-2.007526492,2.96,
1/1/1994,2.158416058,10195.338,10374.3206746335000,-1.725247178,3.34,
4/1/1994,2.155803349,10333.495,10444.8718648733000,-1.0663306,4.25,
7/1/1994,2.073623634,10393.898,10516.4033890138000,-1.164898155,4.73,
10/1/1994,2.012173375,10512.962,10588.5100749116000,-0.71349108,5.45,
1/1/1995,1.950212298,10550.251,10660.8512199494000,-1.037442674,5.98,
4/1/1995,1.882729219,10581.723,10733.9241392145000,-1.417944987,6,
7/1/1995,1.715256189,10671.738,10807.2352401387000,-1.253764142,5.8,
10/1/1995,1.768486323,10744.203,10882.1474701193000,-1.267621768,5.6,
1/1/1996,1.885138052,10824.674,10958.2374644673000,-1.218840757,5.31,
4/1/1996,1.669959266,11005.217,11038.9935416998000,-0.30597483,5.27,
7/1/1996,1.778415818,11103.935,11125.4636871126000,-0.193508223,5.3,
10/1/1996,1.569601159,11219.238,11217.5508013308000,0.015040705,5.29,
1/1/1997,1.115536252,11291.665,11315.1160738239000,-0.207254381,5.39,
4/1/1997,1.149856454,11479.330,11417.5148009159000,0.541406779,5.56,
7/1/1997,1.145417895,11622.911,11525.0735151062000,0.848909855,5.54,
10/1/1997,1.091493258,11722.722,11636.5249359117000,0.740745752,5.5,
1/1/1998,1.266115946,11839.876,11751.2763758939000,0.753957453,5.49,
4/1/1998,1.410147522,11949.492,11869.7764042784000,0.671584645,5.56,
7/1/1998,1.335898954,12099.191,11990.4282067397000,0.907080142,5.51,
10/1/1998,1.616587759,12294.737,12113.2492017673000,1.498258603,4.68,
1/1/1999,1.965086223,12410.778,12238.5117913994000,1.407574806,4.81,
4/1/1999,2.213188502,12514.408,12365.2849898919000,1.205981182,4.76,
7/1/1999,2.44831775,12679.977,12493.7034835611000,1.490939149,5.22,
10/1/1999,2.437411241,12888.281,12624.3397675143000,2.09073296,5.3,
1/1/2000,2.430592784,12935.252,12756.1977992918000,1.403664348,5.85,
4/1/2000,2.412025811,13170.749,12885.5495429190000,2.213327853,6.53,
7/1/2000,2.214112625,13183.890,13010.0471241079000,1.336220186,6.52,
10/1/2000,1.979357995,13262.250,13129.1447680633000,1.013814946,6.4,
1/1/2001,1.641374198,13219.251,13242.6261142211000,-0.17651419,5.31,
4/1/2001,1.380432091,13301.394,13350.3997705019000,-0.367073431,3.97,
7/1/2001,1.4702356,13248.142,13452.5043895306000,-1.519140107,3.07,
10/1/2001,1.735418488,13284.881,13549.5783083476000,-1.953546467,1.82,
1/1/2002,1.914195047,13394.910,13642.0266536659000,-1.811436526,1.73,
4/1/2002,1.911973206,13477.356,13731.5275369163000,-1.851007007,1.75,
7/1/2002,1.999628919,13531.741,13819.4217452817000,-2.081713335,1.75,
10/1/2002,2.043109914,13549.421,13906.0730892485000,-2.564721809,1.24,
1/1/2003,2.254308408,13619.434,13992.4845048454000,-2.66607767,1.25,
4/1/2003,2.722006561,13741.107,14079.7166474920000,-2.404946463,1.22,
7/1/2003,2.797430301,13970.157,14166.9683806409000,-1.389227218,1.01,
10/1/2003,2.95819038,14131.379,14255.2957485288000,-0.86926817,0.98,
1/1/2004,3.049335394,14212.340,14345.4715252156000,-0.928038684,1,
4/1/2004,2.97122528,14323.017,14436.9676951316000,-0.789297985,1.03,
7/1/2004,3.245110232,14457.832,14530.6571547786000,-0.501182803,1.61,
10/1/2004,3.281519982,14605.595,14625.5400517600000,-0.136371387,2.16,
1/1/2005,3.188002147,14767.846,14718.9071571952000,0.332489649,2.63,
4/1/2005,3.351712767,14839.707,14809.9663555948000,0.200815071,3.04,
7/1/2005,3.134495375,14956.291,14899.7646723963000,0.379377318,3.62,
10/1/2005,2.689770587,15041.232,14987.7347477768000,0.356940212,4.16,
1/1/2006,2.947179092,15244.088,15073.6648170587000,1.130602179,4.59,
4/1/2006,2.724871192,15281.525,15158.0237153798000,0.814758487,4.99,
7/1/2006,2.543458958,15304.517,15239.1033395682000,0.429248749,5.25,
10/1/2006,2.594443988,15433.643,15316.9142182979000,0.762090719,5.24,
1/1/2007,1.977727879,15478.956,15394.5912629946000,0.54801544,5.26,
4/1/2007,1.813943574,15577.779,15472.7721486488000,0.678655708,5.25,
